RDBECOLIPDC00031 AcnB acnB RDBECOLIGNC02188 acnB + W 
RDBECOLIPDC00328 DicF dicF RDBECOLIGNC00341 ftsZ - S 
RDBECOLIPDC00328 DicF dicF RDBECOLIGNC00559 manX - S 
RDBECOLIPDC00328 DicF dicF RDBECOLIGNC00793 pykA - S 
RDBECOLIPDC00328 DicF dicF RDBECOLIGNC02444 xylR - S
